"","city","year","weekofyear","total_cases"
"59","sj",2009,24,21.2054333333333
"60","sj",2009,25,26.9856666666667
"61","sj",2009,26,26.8535
"62","sj",2009,27,30.6646666666667
"63","sj",2009,28,34.0397333333333
"64","sj",2009,29,36.9577666666666
"65","sj",2009,30,38.5109333333333
"66","sj",2009,31,44.4585666666667
"67","sj",2009,32,67.6151
"68","sj",2009,33,73.4127666666666
"69","sj",2009,34,78.6760666666666
"70","sj",2009,35,86.1932333333333
"71","sj",2009,36,85.3226666666667
"72","sj",2009,37,86.9841
"73","sj",2009,38,97.0746
"74","sj",2009,39,98.0593666666666
"75","sj",2009,40,113.441133333333
"76","sj",2009,41,110.3479
"77","sj",2009,42,85.1459333333333
"78","sj",2009,43,75.8659
"79","sj",2009,44,58.8462333333334
"80","sj",2009,45,48.6004333333334
"81","sj",2009,46,36.5950666666667
"82","sj",2009,47,31.7591666666667
"83","sj",2009,48,26.5838333333333
"84","sj",2009,49,20.7275333333333
"85","sj",2009,50,17.3252666666667
"86","sj",2009,51,16.7026333333333
"87","sj",2009,52,17.5042666666667
"88","sj",2010,53,17.1555666666667
"89","sj",2010,1,12.5677
"90","sj",2010,2,13.209
"91","sj",2010,3,15.5946
"92","sj",2010,4,9.37776666666667
"93","sj",2010,5,8.152
"94","sj",2010,6,5.3325
"95","sj",2010,7,6.2414
"96","sj",2010,8,6.66443333333333
"97","sj",2010,9,6.45436666666667
"98","sj",2010,10,5.93446666666667
"99","sj",2010,11,4.6538
"100","sj",2010,12,4.7271
"101","sj",2010,13,3.98023333333334
"102","sj",2010,14,3.16353333333334
"103","sj",2010,15,3.1955
"104","sj",2010,16,3.3074
"105","sj",2010,17,4.21073333333334
"106","sj",2010,18,4.72673333333333
"107","sj",2010,19,5.7013
"108","sj",2010,20,5.70403333333333
"109","sj",2010,21,7.31013333333333
"110","sj",2010,22,14.0019666666667
"111","sj",2010,23,14.6669333333333
"112","sj",2010,24,21.2054333333333
"113","sj",2010,25,26.9856666666667
"114","sj",2010,26,26.8535
"115","sj",2010,27,30.6646666666667
"116","sj",2010,28,34.0397333333333
"117","sj",2010,29,36.9577666666666
"118","sj",2010,30,38.5109333333333
"119","sj",2010,31,44.4585666666667
"120","sj",2010,32,67.6151
"121","sj",2010,33,73.4127666666666
"122","sj",2010,34,78.6760666666666
"123","sj",2010,35,86.1932333333333
"124","sj",2010,36,85.3226666666667
"125","sj",2010,37,86.9841
"126","sj",2010,38,97.0746
"127","sj",2010,39,98.0593666666666
"128","sj",2010,40,113.441133333333
"129","sj",2010,41,110.3479
"130","sj",2010,42,85.1459333333333
"131","sj",2010,43,75.8659
"132","sj",2010,44,58.8462333333334
"133","sj",2010,45,48.6004333333334
"134","sj",2010,46,36.5950666666667
"135","sj",2010,47,31.7591666666667
"136","sj",2010,48,26.5838333333333
"137","sj",2010,49,20.7275333333333
"138","sj",2010,50,17.3252666666667
"139","sj",2010,51,16.7026333333333
"140","sj",2011,52,17.5042666666667
"141","sj",2011,1,12.5677
"142","sj",2011,2,13.209
"143","sj",2011,3,15.5946
"144","sj",2011,4,9.37776666666667
"145","sj",2011,5,8.152
"146","sj",2011,6,5.3325
"147","sj",2011,7,6.2414
"148","sj",2011,8,6.66443333333333
"149","sj",2011,9,6.45436666666667
"150","sj",2011,10,5.93446666666667
"151","sj",2011,11,4.6538
"152","sj",2011,12,4.7271
"153","sj",2011,13,3.98023333333334
"154","sj",2011,14,3.16353333333334
"155","sj",2011,15,3.1955
"156","sj",2011,16,3.3074
"157","sj",2011,17,4.21073333333334
"158","sj",2011,18,4.72673333333333
"159","sj",2011,19,5.7013
"160","sj",2011,20,5.70403333333333
"161","sj",2011,21,7.31013333333333
"162","sj",2011,22,14.0019666666667
"163","sj",2011,23,14.6669333333333
"164","sj",2011,24,21.2054333333333
"165","sj",2011,25,26.9856666666667
"166","sj",2011,26,26.8535
"167","sj",2011,27,30.6646666666667
"168","sj",2011,28,34.0397333333333
"169","sj",2011,29,36.9577666666666
"170","sj",2011,30,38.5109333333333
"171","sj",2011,31,44.4585666666667
"172","sj",2011,32,67.6151
"173","sj",2011,33,73.4127666666666
"174","sj",2011,34,78.6760666666666
"175","sj",2011,35,86.1932333333333
"176","sj",2011,36,85.3226666666667
"177","sj",2011,37,86.9841
"178","sj",2011,38,97.0746
"179","sj",2011,39,98.0593666666666
"180","sj",2011,40,113.441133333333
"181","sj",2011,41,110.3479
"182","sj",2011,42,85.1459333333333
"183","sj",2011,43,75.8659
"184","sj",2011,44,58.8462333333334
"185","sj",2011,45,48.6004333333334
"186","sj",2011,46,36.5950666666667
"187","sj",2011,47,31.7591666666667
"188","sj",2011,48,26.5838333333333
"189","sj",2011,49,20.7275333333333
"190","sj",2011,50,17.3252666666667
"191","sj",2011,51,16.7026333333333
"192","sj",2012,52,17.5042666666667
"193","sj",2012,1,12.5677
"194","sj",2012,2,13.209
"195","sj",2012,3,15.5946
"196","sj",2012,4,9.37776666666667
"197","sj",2012,5,8.152
"198","sj",2012,6,5.3325
"199","sj",2012,7,6.2414
"200","sj",2012,8,6.66443333333333
"201","sj",2012,9,6.45436666666667
"202","sj",2012,10,5.93446666666667
"203","sj",2012,11,4.6538
"204","sj",2012,12,4.7271
"205","sj",2012,13,3.98023333333334
"206","sj",2012,14,3.16353333333334
"207","sj",2012,15,3.1955
"208","sj",2012,16,3.3074
"209","sj",2012,17,4.21073333333334
"210","sj",2012,18,4.72673333333333
"211","sj",2012,19,5.7013
"212","sj",2012,20,5.70403333333333
"213","sj",2012,21,7.31013333333333
"214","sj",2012,22,14.0019666666667
"215","sj",2012,23,14.6669333333333
"216","sj",2012,24,21.2054333333333
"217","sj",2012,25,26.9856666666667
"218","sj",2012,26,26.8535
"219","sj",2012,27,30.6646666666667
"220","sj",2012,28,34.0397333333333
"221","sj",2012,29,36.9577666666666
"222","sj",2012,30,38.5109333333333
"223","sj",2012,31,44.4585666666667
"224","sj",2012,32,67.6151
"225","sj",2012,33,73.4127666666666
"226","sj",2012,34,78.6760666666666
"227","sj",2012,35,86.1932333333333
"228","sj",2012,36,85.3226666666667
"229","sj",2012,37,86.9841
"230","sj",2012,38,97.0746
"231","sj",2012,39,98.0593666666666
"232","sj",2012,40,113.441133333333
"233","sj",2012,41,110.3479
"234","sj",2012,42,85.1459333333333
"235","sj",2012,43,75.8659
"236","sj",2012,44,58.8462333333334
"237","sj",2012,45,48.6004333333334
"238","sj",2012,46,36.5950666666667
"239","sj",2012,47,31.7591666666667
"240","sj",2012,48,26.5838333333333
"241","sj",2012,49,20.7275333333333
"242","sj",2012,50,17.3252666666667
"243","sj",2012,51,16.7026333333333
"244","sj",2013,1,12.5677
"245","sj",2013,2,13.209
"246","sj",2013,3,15.5946
"247","sj",2013,4,9.37776666666667
"248","sj",2013,5,8.152
"249","sj",2013,6,5.3325
"250","sj",2013,7,6.2414
"251","sj",2013,8,6.66443333333333
"252","sj",2013,9,6.45436666666667
"253","sj",2013,10,5.93446666666667
"254","sj",2013,11,4.6538
"255","sj",2013,12,4.7271
"256","sj",2013,13,3.98023333333334
"257","sj",2013,14,3.16353333333334
"258","sj",2013,15,3.1955
"259","sj",2013,16,3.3074
"260","sj",2013,17,4.21073333333334
"261","iq",2010,26,2.12376666666667
"262","iq",2010,27,2.03516666666667
"263","iq",2010,28,2.05446666666667
"264","iq",2010,29,1.97386666666667
"265","iq",2010,30,1.96493333333333
"266","iq",2010,31,2.466
"267","iq",2010,32,3.2589
"268","iq",2010,33,3.43206666666667
"269","iq",2010,34,3.5936
"270","iq",2010,35,3.3801
"271","iq",2010,36,3.20523333333333
"272","iq",2010,37,3.50023333333333
"273","iq",2010,38,3.5455
"274","iq",2010,39,3.88933333333333
"275","iq",2010,40,3.97843333333333
"276","iq",2010,41,3.72063333333333
"277","iq",2010,42,5.9139
"278","iq",2010,43,3.12423333333333
"279","iq",2010,44,2.94653333333333
"280","iq",2010,45,3.0591
"281","iq",2010,46,3.75236666666667
"282","iq",2010,47,3.46246666666667
"283","iq",2010,48,3.27773333333333
"284","iq",2010,49,3.18063333333333
"285","iq",2010,50,3.8298
"286","iq",2010,51,1.87023333333333
"287","iq",2011,52,0.892966666666667
"288","iq",2011,1,13.4065333333333
"289","iq",2011,2,13.6673
"290","iq",2011,3,14.1365
"291","iq",2011,4,14.9132333333333
"292","iq",2011,5,14.6344333333333
"293","iq",2011,6,14.6848333333333
"294","iq",2011,7,15.1845333333333
"295","iq",2011,8,14.7757
"296","iq",2011,9,13.7103666666667
"297","iq",2011,10,12.5274666666667
"298","iq",2011,11,11.6598
"299","iq",2011,12,9.70243333333334
"300","iq",2011,13,6.7207
"301","iq",2011,14,6.58146666666667
"302","iq",2011,15,5.95543333333334
"303","iq",2011,16,5.6905
"304","iq",2011,17,4.78366666666667
"305","iq",2011,18,3.2045
"306","iq",2011,19,3.00616666666667
"307","iq",2011,20,2.94536666666667
"308","iq",2011,21,2.25463333333333
"309","iq",2011,22,2.24356666666667
"310","iq",2011,23,2.2018
"311","iq",2011,24,2.1503
"312","iq",2011,25,2.22283333333333
"313","iq",2011,26,2.12376666666667
"314","iq",2011,27,2.03516666666667
"315","iq",2011,28,2.05446666666667
"316","iq",2011,29,1.97386666666667
"317","iq",2011,30,1.96493333333333
"318","iq",2011,31,2.466
"319","iq",2011,32,3.2589
"320","iq",2011,33,3.43206666666667
"321","iq",2011,34,3.5936
"322","iq",2011,35,3.3801
"323","iq",2011,36,3.20523333333333
"324","iq",2011,37,3.50023333333333
"325","iq",2011,38,3.5455
"326","iq",2011,39,3.88933333333333
"327","iq",2011,40,3.97843333333333
"328","iq",2011,41,3.72063333333333
"329","iq",2011,42,5.9139
"330","iq",2011,43,3.12423333333333
"331","iq",2011,44,2.94653333333333
"332","iq",2011,45,3.0591
"333","iq",2011,46,3.75236666666667
"334","iq",2011,47,3.46246666666667
"335","iq",2011,48,3.27773333333333
"336","iq",2011,49,3.18063333333333
"337","iq",2011,50,3.8298
"338","iq",2011,51,1.87023333333333
"339","iq",2012,52,0.892966666666667
"340","iq",2012,1,13.4065333333333
"341","iq",2012,2,13.6673
"342","iq",2012,3,14.1365
"343","iq",2012,4,14.9132333333333
"344","iq",2012,5,14.6344333333333
"345","iq",2012,6,14.6848333333333
"346","iq",2012,7,15.1845333333333
"347","iq",2012,8,14.7757
"348","iq",2012,9,13.7103666666667
"349","iq",2012,10,12.5274666666667
"350","iq",2012,11,11.6598
"351","iq",2012,12,9.70243333333334
"352","iq",2012,13,6.7207
"353","iq",2012,14,6.58146666666667
"354","iq",2012,15,5.95543333333334
"355","iq",2012,16,5.6905
"356","iq",2012,17,4.78366666666667
"357","iq",2012,18,3.2045
"358","iq",2012,19,3.00616666666667
"359","iq",2012,20,2.94536666666667
"360","iq",2012,21,2.25463333333333
"361","iq",2012,22,2.24356666666667
"362","iq",2012,23,2.2018
"363","iq",2012,24,2.1503
"364","iq",2012,25,2.22283333333333
"365","iq",2012,26,2.12376666666667
"366","iq",2012,27,2.03516666666667
"367","iq",2012,28,2.05446666666667
"368","iq",2012,29,1.97386666666667
"369","iq",2012,30,1.96493333333333
"370","iq",2012,31,2.466
"371","iq",2012,32,3.2589
"372","iq",2012,33,3.43206666666667
"373","iq",2012,34,3.5936
"374","iq",2012,35,3.3801
"375","iq",2012,36,3.20523333333333
"376","iq",2012,37,3.50023333333333
"377","iq",2012,38,3.5455
"378","iq",2012,39,3.88933333333333
"379","iq",2012,40,3.97843333333333
"380","iq",2012,41,3.72063333333333
"381","iq",2012,42,5.9139
"382","iq",2012,43,3.12423333333333
"383","iq",2012,44,2.94653333333333
"384","iq",2012,45,3.0591
"385","iq",2012,46,3.75236666666667
"386","iq",2012,47,3.46246666666667
"387","iq",2012,48,3.27773333333333
"388","iq",2012,49,3.18063333333333
"389","iq",2012,50,3.8298
"390","iq",2012,51,1.87023333333333
"391","iq",2013,1,13.4065333333333
"392","iq",2013,2,13.6673
"393","iq",2013,3,14.1365
"394","iq",2013,4,14.9132333333333
"395","iq",2013,5,14.6344333333333
"396","iq",2013,6,14.6848333333333
"397","iq",2013,7,15.1845333333333
"398","iq",2013,8,14.7757
"399","iq",2013,9,13.7103666666667
"400","iq",2013,10,12.5274666666667
"401","iq",2013,11,11.6598
"402","iq",2013,12,9.70243333333334
"403","iq",2013,13,6.7207
"404","iq",2013,14,6.58146666666667
"405","iq",2013,15,5.95543333333334
"406","iq",2013,16,5.6905
"407","iq",2013,17,4.78366666666667
"408","iq",2013,18,3.2045
"409","iq",2013,19,3.00616666666667
"410","iq",2013,20,2.94536666666667
"411","iq",2013,21,2.25463333333333
"412","iq",2013,22,2.24356666666667
"413","iq",2013,23,2.2018
"414","iq",2013,24,2.1503
"415","iq",2013,25,2.22283333333333
"416","iq",2013,26,2.12376666666667
